"entryID";"content";"category";"gender";"variantOf";"feminineOf";"phonetic1";"phonetic2";"originatingEntry";"processStatus";"typeModif";"raisonModif";"destinataireModif";"dateModif";"commentaireModif"
"6";"se abader";"verb";NULL;NULL;NULL;"a b a d e";"a b a d e";"ABADER (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"96";"se abeaudir";"verb";NULL;NULL;NULL;"a b o d i R";"a b O/ d i R";"ABEAUDIR (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"343";"se absenter";"verb";NULL;NULL;NULL;"a p s a~ t e";"a p s a~ t e";"ABSENTER (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"395";"se abstenir";"verb";NULL;NULL;NULL;"a p s t @ n i R";"a p s t @ n i R";"ABSTENIR (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"506";"se acalifourchonner";"verb";NULL;NULL;NULL;"a k a l i f u R S O n e";"a k a l i f u R S O/ n e";"ACALIFOURCHONNER (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"510";"se acaniller";"verb";NULL;NULL;NULL;"a k a n i j e";"a k a n i j e";"ACANILLER (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"534";"se acarêmer";"verb";NULL;NULL;NULL;"a k a R e m e";"a k a R E/ m e";"ACARÊMER (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"563";"se accalmir";"verb";NULL;NULL;NULL;"a k a l m i R";"a k a l m i R";"ACCALMIR (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"662";"se accoiter";"verb";NULL;NULL;NULL;"a k w a t e";"a k w a t e";"ACCOITER (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"754";"se accouffler";"verb";NULL;NULL;NULL;"a k u f l e";"a k u f l e";"AC(C)OUF(F)LER (S'), (ACOUFLER , ACOUFFLER , ACCOUFLER , ACCOUFFLER )verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"755";"se accoufler";"verb";NULL;NULL;NULL;"a k u f l e";"a k u f l e";"AC(C)OUF(F)LER (S'), (ACOUFLER , ACOUFFLER , ACCOUFLER , ACCOUFFLER )verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"799";"se accroupir";"verb";NULL;NULL;NULL;"a k R u p i R";"a k R u p i R";"ACCROUPIR (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"801";"se accrouptonner";"verb";NULL;NULL;NULL;"a k R u p t O n e";"a k R u p t O/ n e";"ACCROUPTONNER (S'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
