"entryID";"content";"category";"gender";"variantOf";"feminineOf";"phonetic1";"phonetic2";"originatingEntry";"processStatus";"typeModif";"raisonModif";"destinataireModif";"dateModif";"commentaireModif"
"12080";"c'";"functionWord";NULL;NULL;NULL;"k";"k";"CE1, C', Ç', pron. dém. neutre et particule.";"0";NULL;NULL;NULL;NULL;NULL
"14135";"ch'timi";"commonNoun";"masculine";NULL;NULL;"S t i m i";"S t i m i";"CHTIMI, CH'TIMI, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"25427";"entr'ouvrir";"verb";NULL;NULL;NULL;"a~ t R u v R i R";"a~ t R u v R i R";"ENTR(')OUVRIR, (ENTROUVRIR)verbe trans.";"0";NULL;NULL;NULL;NULL;NULL
"35621";"jourd'hui";"commonNoun";"masculine";NULL;NULL;"Z u R d H i";"Z u R d H i";"JOURD'HUI, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"49061";"presqu'île";"commonNoun";"feminine";NULL;NULL;"p R E s k i l @";"p R E s k i l @";"PRESQU'ÎLE, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"49759";"prud'homie";"commonNoun";"feminine";NULL;NULL;"p R y d O m i";"p R y d O m i";"PRUD'HOMIE, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"62114";"travellers'chèque";"commonNoun";"masculine";NULL;NULL;"t R a v l 9 R s S E k";"t R a v l 9 R s S E k";NULL;"0";NULL;NULL;NULL;NULL;NULL
"67722";"affile d'";"functionWord";NULL;NULL;NULL;"d a f i l @";"d a f i l @";"AFFILÉE (D'), (À L'), AFFILE (D'), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"67723";"affilée d'";"functionWord";NULL;NULL;NULL;"d a f i l e";"d a f i l e";"AFFILÉE (D'), (À L'), AFFILE (D'), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"67816";"à l'envers";"functionWord";NULL;NULL;NULL;"a l a~ v E R";"a l a~ v E R";"ENVERS2 subst. masc., À L'ENVERS, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"67916";"altèque d'";"functionWord";NULL;NULL;NULL;"d a l t E k @";"d a l t E k @";"ALTÈQUE (D'), loc. adj.";"0";NULL;NULL;NULL;NULL;NULL
"68006";"amiable à l'";"adjective";NULL;NULL;NULL;"a l a m j a b l @";"a l a m j a b l @";"AMIABLE (À L'), adj. et loc.";"0";NULL;NULL;NULL;NULL;NULL
"68007";"amiable à l'";"functionWord";NULL;NULL;NULL;"a l a m j a b l @";"a l a m j a b l @";"AMIABLE (À L'), adj. et loc.";"0";NULL;NULL;NULL;NULL;NULL
"68681";"arrache-pied d'";"functionWord";NULL;NULL;NULL;"d a R a S @ p j e";"d a R a S @ p j e";"ARRACHE-PIED (D'), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"68905";"aujourd'hui";"functionWord";NULL;NULL;NULL;"o Z u R d H i";"O/ Z u R d H i";"AUJOURD'HUI, adv.";"0";NULL;NULL;NULL;NULL;NULL
"68961";"autor d'";"functionWord";NULL;NULL;NULL;"d o t O R";"d O/ t O R";"AUTOR (D'), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"69021";"avenantà l'";"functionWord";NULL;NULL;NULL;;;"AVENANT4(À L'), loc.";"0";NULL;NULL;NULL;NULL;NULL
